Dataset,Model,Macro_F1_point,CI_low,CI_high
TNBC_Breast_Cancer,scGPT_emb_and_LogReg,0.714992726722811,0.7105892965367807,0.7197274069350176
TNBC_Breast_Cancer,scGPT_emb_and_XGBoost,0.9718872606470639,0.968352083960048,0.9750655159367938
TNBC_Breast_Cancer,scGPT_emb_and_RandomForest,0.9539333884382002,0.949407932391668,0.9580829662782757
TNBC_Breast_Cancer,LogReg_vocab-matched,0.9934071303817795,0.991909646780184,0.994806470535476
TNBC_Breast_Cancer,RandomForest_vocab-matched,0.9925078118858245,0.9908510127991416,0.9940419977126443
TNBC_Breast_Cancer,XGBoost_vocab-matched,0.9921238389597505,0.9902591083432826,0.9938007575196081
Indonesia_PBMC,scGPT_emb_and_LogReg,0.4646863373767594,0.4582729461279666,0.4710117947786055
Indonesia_PBMC,scGPT_emb_and_XGBoost,0.7696285301798658,0.7635740259225652,0.7757942507415241
Indonesia_PBMC,scGPT_emb_and_RandomForest,0.6770445337733884,0.6698698145877742,0.6843829038242869
Indonesia_PBMC,LogReg_vocab-matched,0.9403634006025086,0.9371980325145803,0.9433680263293114
Indonesia_PBMC,RandomForest_vocab-matched,0.8703221611084249,0.8643023858642351,0.8760342208517587
Indonesia_PBMC,XGBoost_vocab-matched,0.9369117219330175,0.9335537791486462,0.9401861798472579
Brain_Atlas,scGPT_emb_and_LogReg,0.5489312009761008,0.5450066439492768,0.5527454630909701
Brain_Atlas,scGPT_emb_and_XGBoost,0.8182839482647406,0.7793993060509554,0.8507107267906715
Brain_Atlas,scGPT_emb_and_RandomForest,0.7586549183646516,0.7184640783762892,0.7910060982365189
Brain_Atlas,LogReg_vocab-matched,0.936628636380585,0.9134501877991681,0.9565401397891323
Brain_Atlas,RandomForest_vocab-matched,0.8576661550169037,0.8308637338562395,0.8824909222002771
Brain_Atlas,XGBoost_vocab-matched,0.9317090585590957,0.9042691783331929,0.9545582443377532
Multi_Tissue_TME,scGPT_emb_and_LogReg,0.5204041486810028,0.5181155007433405,0.5230464920710717
Multi_Tissue_TME,scGPT_emb_and_XGBoost,0.8959446165915811,0.8872076314288234,0.9034025591994771
Multi_Tissue_TME,scGPT_emb_and_RandomForest,0.8575412190762051,0.8464351202757602,0.8670249639996851
Multi_Tissue_TME,LogReg_vocab-matched,0.8979032002695214,0.8920411464827087,0.9028516759435908
Multi_Tissue_TME,RandomForest_vocab-matched,0.9270024356708508,0.920447648873201,0.9323682645687231
Multi_Tissue_TME,XGBoost_vocab-matched,0.9250211488217714,0.916630691216909,0.9317701003843701
Human_Pancreas,scGPT_emb_and_LogReg,0.44488786193941676,0.44085406248045883,0.44916101129657793
Human_Pancreas,scGPT_emb_and_XGBoost,0.6648334901486864,0.6563787609088565,0.6740047719157684
Human_Pancreas,scGPT_emb_and_RandomForest,0.5237730817553783,0.5118197096114464,0.5372524067306855
Human_Pancreas,LogReg_vocab-matched,0.9669299811819364,0.9375222228825083,0.9873834876688063
Human_Pancreas,RandomForest_vocab-matched,0.8415813494837344,0.7806858217567401,0.8920635670495376
Human_Pancreas,XGBoost_vocab-matched,0.9627619431773966,0.9360343123549901,0.9838417880266791
Pig_Pancreas,scGPT_emb_and_LogReg,0.27036327214585154,0.2577877239220082,0.28375833461043715
Pig_Pancreas,scGPT_emb_and_XGBoost,0.6222783235108328,0.5701837452949617,0.6783358838190052
Pig_Pancreas,scGPT_emb_and_RandomForest,0.4706860715176558,0.4296620528757108,0.5197730796240382
Pig_Pancreas,LogReg_vocab-matched,0.9888862491519321,0.9713025981190396,0.9974418637454967
Pig_Pancreas,RandomForest_vocab-matched,0.9376921673351541,0.8914120829806814,0.9692167243160525
Pig_Pancreas,XGBoost_vocab-matched,0.9717923631305369,0.9415386888767624,0.9916727482651801
TNBC_Breast_Cancer,scGPT_fine-tuned_end-to-end,0.9753866354954888,0.9722796335365006,0.9784374086164286
