dataset,model,macro_f1,cell_boot_ci_low,cell_boot_ci_high,n_test_cells,n_bootstrap
TNBC_Breast_Cancer,scGPT embeddings plus Logistic Regression,0.9783778788575236,0.9771784556864451,0.9795596894885911,85561,5000
TNBC_Breast_Cancer,scGPT embeddings plus Random Forest,0.9676189362701944,0.9658873161805349,0.9693232109014464,85561,5000
TNBC_Breast_Cancer,scGPT embeddings plus XGBoost,0.9799112509344132,0.9786343112553988,0.9810830959124361,85561,5000
TNBC_Breast_Cancer,Matched HVGs plus Logistic Regression,0.990895549338889,0.9900494514644359,0.9916565965631495,85561,5000
TNBC_Breast_Cancer,Matched HVGs plus Random Forest,0.9874626084432784,0.9863105478707855,0.9885380971765502,85561,5000
TNBC_Breast_Cancer,Matched HVGs plus XGBoost,0.991562948378232,0.9906614391139638,0.992398596584965,85561,5000
Indonesia_PBMC,scGPT embeddings plus Logistic Regression,0.9286784910348248,0.9256696961467269,0.9317087553223901,92407,5000
Indonesia_PBMC,scGPT embeddings plus Random Forest,0.9123734673124908,0.9091348110526983,0.9154130278211212,92407,5000
Indonesia_PBMC,scGPT embeddings plus XGBoost,0.935686328099008,0.9329868317707332,0.9383160245327319,92407,5000
Indonesia_PBMC,Matched HVGs plus Logistic Regression,0.9558070010012972,0.9532638446482218,0.9581834802011655,92407,5000
Indonesia_PBMC,Matched HVGs plus Random Forest,0.929170760625508,0.9251071097823719,0.9329900947969977,92407,5000
Indonesia_PBMC,Matched HVGs plus XGBoost,0.9551098056680792,0.9525949157468088,0.9575924413463309,92407,5000
Brain_Atlas,scGPT embeddings plus Logistic Regression,0.8705202403137854,0.8310561352815654,0.9020834270833537,15116,5000
Brain_Atlas,scGPT embeddings plus Random Forest,0.892835516747648,0.8571758652700362,0.920246280020642,15116,5000
Brain_Atlas,scGPT embeddings plus XGBoost,0.9313820521431164,0.9040087483095848,0.9525583633672337,15116,5000
Brain_Atlas,Matched HVGs plus Logistic Regression,0.9452661897810845,0.9251984811935363,0.9619459693414331,15116,5000
Brain_Atlas,Matched HVGs plus Random Forest,0.8311866838904882,0.789614421237414,0.8649817541865277,15116,5000
Brain_Atlas,Matched HVGs plus XGBoost,0.9519675426251388,0.9293340243143896,0.9699092093973668,15116,5000
Multi_Tissue_TME,scGPT embeddings plus Logistic Regression,0.3213345572874949,0.31762929147662067,0.32511069786312147,78121,5000
Multi_Tissue_TME,scGPT embeddings plus Random Forest,0.3335365517322727,0.3248912579338255,0.3449539587266208,78121,5000
Multi_Tissue_TME,scGPT embeddings plus XGBoost,0.3652759716721773,0.3588028487457082,0.37176500838780724,78121,5000
Multi_Tissue_TME,Matched HVGs plus Logistic Regression,0.3574331272656875,0.35125055239072417,0.3636662971120411,78121,5000
Multi_Tissue_TME,Matched HVGs plus Random Forest,0.3906059445458844,0.37843568359551466,0.40423059942995493,78121,5000
Multi_Tissue_TME,Matched HVGs plus XGBoost,0.4161540361668163,0.40377366353777666,0.43030751612111673,78121,5000
Human_Pancreas,scGPT embeddings plus Logistic Regression,0.7222394211675726,0.7168895634195208,0.7273718403008432,5295,5000
Human_Pancreas,scGPT embeddings plus Random Forest,0.7434993137066171,0.7196966790847792,0.783584779714357,5295,5000
Human_Pancreas,scGPT embeddings plus XGBoost,0.8735552465105023,0.8170198275059488,0.920267274104353,5295,5000
Human_Pancreas,Matched HVGs plus Logistic Regression,0.9829686611269268,0.9618675862362659,0.9985547960500638,5295,5000
Human_Pancreas,Matched HVGs plus Random Forest,0.9513941270636128,0.9115598805725444,0.9792211971087807,5295,5000
Human_Pancreas,Matched HVGs plus XGBoost,0.9823803395593692,0.9624636135546546,0.9972734389409738,5295,5000
Pig_Pancreas,scGPT embeddings plus Logistic Regression,0.6013458633720048,0.5833461787942402,0.6192102374588255,4412,5000
Pig_Pancreas,scGPT embeddings plus Random Forest,0.5961632538109766,0.5771659801236656,0.6139868562056046,4412,5000
Pig_Pancreas,scGPT embeddings plus XGBoost,0.864984569247063,0.8098928071179989,0.9067101114642533,4412,5000
Pig_Pancreas,Matched HVGs plus Logistic Regression,0.993417839037721,0.9890778086137518,0.9971363546669308,4412,5000
Pig_Pancreas,Matched HVGs plus Random Forest,0.9467780291636988,0.9042897809000675,0.9773867330558553,4412,5000
Pig_Pancreas,Matched HVGs plus XGBoost,0.9912254179663798,0.9866682033847683,0.9952831836829004,4412,5000
