dataset,model,representation,classifier,n_cells,n_cells_before_shared_input_qc,n_zero_input_excluded,n_train_cells,n_test_cells,n_classes,n_matched_hvgs,fit_and_predict_seconds,macro_f1,accuracy,balanced_accuracy,ece_equal_width_10,ece_adaptive_10,ece_classwise_10,multiclass_brier,negative_log_likelihood
TNBC_Breast_Cancer,scGPT embeddings plus Logistic Regression,scgpt_embeddings,logreg,427802,427823,21,342241,85561,7,1165,19.03746008872986,0.9783778788575236,0.9742055375696872,0.9736712123769484,0.0103447244329751,0.0102776350858558,0.0031262084730457,0.0400205232300903,0.0814533408424218
TNBC_Breast_Cancer,scGPT embeddings plus Random Forest,scgpt_embeddings,random_forest,427802,427823,21,342241,85561,7,1165,136.94398093223572,0.9676189362701944,0.9647853578148924,0.9522813272127826,0.0434574813390771,0.0434909077824701,0.0136716151582066,0.0605900541849432,0.1375113419864779
TNBC_Breast_Cancer,scGPT embeddings plus XGBoost,scgpt_embeddings,xgboost,427802,427823,21,342241,85561,7,1165,10.261329174041748,0.9799112509344132,0.9762742370940032,0.9748012853546646,0.0011319048262921,0.0023546732685196,0.0008863451464971,0.0363230367728278,0.0689395066071298
TNBC_Breast_Cancer,Matched HVGs plus Logistic Regression,matched_hvgs,logreg,427802,427823,21,342241,85561,7,1165,19.423930168151852,0.990895549338889,0.9889552483023808,0.9903153317024226,0.0018299248759274,0.0015670039350922,0.0007868220746913,0.017408034445938,0.0342310110231276
TNBC_Breast_Cancer,Matched HVGs plus Random Forest,matched_hvgs,random_forest,427802,427823,21,342241,85561,7,1165,79.20269131660461,0.9874626084432784,0.9864307336286392,0.9809545358792824,0.0322468014871255,0.0323169268935295,0.0102791222824389,0.0266229442777709,0.0669883743387334
TNBC_Breast_Cancer,Matched HVGs plus XGBoost,matched_hvgs,xgboost,427802,427823,21,342241,85561,7,1165,13.32165789604187,0.991562948378232,0.9904161942941292,0.989573423901392,0.0017621948571006,0.0017530138059783,0.0007370058070065,0.0150573612098428,0.0298648580555772
Indonesia_PBMC,scGPT embeddings plus Logistic Regression,scgpt_embeddings,logreg,462034,462034,0,369627,92407,13,1135,38.7074990272522,0.9286784910348248,0.9237395435410736,0.9161436085406162,0.0212875257334595,0.0212603014067136,0.0035422475597819,0.1144902416705879,0.2103938705406345
Indonesia_PBMC,scGPT embeddings plus Random Forest,scgpt_embeddings,random_forest,462034,462034,0,369627,92407,13,1135,113.73107051849364,0.9123734673124908,0.9055266375923902,0.8930276212006412,0.0737434932657807,0.0738084234093654,0.0118688394102453,0.1535606339337968,0.293295199856897
Indonesia_PBMC,scGPT embeddings plus XGBoost,scgpt_embeddings,xgboost,462034,462034,0,369627,92407,13,1135,19.55109190940857,0.935686328099008,0.9244104883829148,0.9295929886473052,0.0037781912210703,0.0041658220855343,0.0012112302946631,0.1118627173706351,0.2002105082322616
Indonesia_PBMC,Matched HVGs plus Logistic Regression,matched_hvgs,logreg,462034,462034,0,369627,92407,13,1135,306.2964708805084,0.9558070010012972,0.952665923577218,0.9566104091466994,0.0086502205811318,0.0081690293375764,0.0013748352742,0.0716303450488644,0.1333164287089399
Indonesia_PBMC,Matched HVGs plus Random Forest,matched_hvgs,random_forest,462034,462034,0,369627,92407,13,1135,156.14569640159607,0.929170760625508,0.9441925395262264,0.9031225954549176,0.1044710895684273,0.1044710895684275,0.0162303388117818,0.1090712942422864,0.2284767743500534
