dataset,model,bin,lower_edge,upper_edge,n,mean_confidence,accuracy,accuracy_wilson_low,accuracy_wilson_high
TNBC_Breast_Cancer,scGPT embeddings plus Logistic Regression,1,0.0,0.1,0,,,,
TNBC_Breast_Cancer,scGPT embeddings plus Logistic Regression,2,0.1,0.2,0,,,,
TNBC_Breast_Cancer,scGPT embeddings plus Logistic Regression,3,0.2,0.3,0,,,,
TNBC_Breast_Cancer,scGPT embeddings plus Logistic Regression,4,0.3,0.4,26,0.3751828166154715,0.34615384615384615,0.1941223032294052,0.5377942881118918
TNBC_Breast_Cancer,scGPT embeddings plus Logistic Regression,5,0.4,0.5,183,0.47057575361976206,0.45901639344262296,0.3884015168252967,0.5313165152716642
TNBC_Breast_Cancer,scGPT embeddings plus Logistic Regression,6,0.5,0.6,1108,0.5506988792858399,0.5658844765342961,0.5365224170774451,0.5947912687378502
TNBC_Breast_Cancer,scGPT embeddings plus Logistic Regression,7,0.6,0.7,1359,0.6519546865364311,0.6718175128771156,0.6463992793643512,0.6962671379048362
TNBC_Breast_Cancer,scGPT embeddings plus Logistic Regression,8,0.7,0.8,1905,0.7527534874718333,0.794750656167979,0.776029390701341,0.8122855763749731
TNBC_Breast_Cancer,scGPT embeddings plus Logistic Regression,9,0.8,0.9,3811,0.8585012733732987,0.9086853844135397,0.899123734336747,0.9174239606657498
TNBC_Breast_Cancer,scGPT embeddings plus Logistic Regression,10,0.9,1.0,77169,0.9871430321184891,0.9944926071349894,0.9939452695163118,0.9949907156997269
TNBC_Breast_Cancer,scGPT embeddings plus Random Forest,1,0.0,0.1,0,,,,
TNBC_Breast_Cancer,scGPT embeddings plus Random Forest,2,0.1,0.2,0,,,,
TNBC_Breast_Cancer,scGPT embeddings plus Random Forest,3,0.2,0.3,2,0.2849999964237213,0.0,0.0,0.6576197724933469
TNBC_Breast_Cancer,scGPT embeddings plus Random Forest,4,0.3,0.4,57,0.3654385967212811,0.47368421052631576,0.3498716798112528,0.6008198378125881
TNBC_Breast_Cancer,scGPT embeddings plus Random Forest,5,0.4,0.5,658,0.46648049884472936,0.5167173252279635,0.47854882489737394,0.5546917642298179
TNBC_Breast_Cancer,scGPT embeddings plus Random Forest,6,0.5,0.6,2149,0.5485528118391823,0.6347138203815729,0.6141321749392714,0.654814708087206
TNBC_Breast_Cancer,scGPT embeddings plus Random Forest,7,0.6,0.7,3180,0.6544858499705417,0.7723270440251573,0.7574291512972963,0.7865677852340657
TNBC_Breast_Cancer,scGPT embeddings plus Random Forest,8,0.7,0.8,4591,0.7543332424461906,0.8913090829884557,0.881976381273635,0.89998748672937
TNBC_Breast_Cancer,scGPT embeddings plus Random Forest,9,0.8,0.9,11203,0.8585939820532308,0.9630456127822905,0.959390573273107,0.9663832085835136
TNBC_Breast_Cancer,scGPT embeddings plus Random Forest,10,0.9,1.0,63721,0.9755096936098302,0.9962178873526781,0.9957104540141912,0.996665494710065
TNBC_Breast_Cancer,scGPT embeddings plus XGBoost,1,0.0,0.1,0,,,,
TNBC_Breast_Cancer,scGPT embeddings plus XGBoost,2,0.1,0.2,0,,,,
TNBC_Breast_Cancer,scGPT embeddings plus XGBoost,3,0.2,0.3,0,,,,
