fold,model,representation,classifier,n_train_cells,n_test_cells,n_train_donors,n_test_donors,n_matched_hvgs,expression_preprocessing,fit_and_predict_seconds,macro_f1,accuracy,balanced_accuracy,ece_equal_width_10,ece_adaptive_10,ece_classwise_10,multiclass_brier,negative_log_likelihood
0,scGPT embeddings plus Logistic Regression,scgpt_embeddings,logreg,368104,93930,159,40,1135,raw counts normalized to 10000 then log1p,50.07099175453186,0.9294794971033312,0.9239327158522304,0.9162049437702778,0.0214676271224288,0.0214641693667563,0.0036451619989096,0.1147159263755885,0.2106081324950541
0,scGPT embeddings plus Random Forest,scgpt_embeddings,random_forest,368104,93930,159,40,1135,raw counts normalized to 10000 then log1p,128.27826642990112,0.912085445023436,0.904428829979772,0.8914089908568711,0.0713603745215666,0.071424251874644,0.0114084219437109,0.15465343917878,0.2944752080934535
0,scGPT embeddings plus XGBoost,scgpt_embeddings,xgboost,368104,93930,159,40,1135,raw counts normalized to 10000 then log1p,18.971354961395264,0.9342617870920712,0.9240072394336208,0.927955707998183,0.0045088633491001,0.0055452353521656,0.0014186807849521,0.1130449674366238,0.2016449925692576
0,Matched HVGs plus Logistic Regression,matched_hvgs,logreg,368104,93930,159,40,1135,raw counts normalized to 10000 then log1p,308.09935307502747,0.9563699619251648,0.9515809645480676,0.9554182837600536,0.0098830453055795,0.0097362137285597,0.0015372798515357,0.0729082694489173,0.1360488872610392
0,Matched HVGs plus Random Forest,matched_hvgs,random_forest,368104,93930,159,40,1135,raw counts normalized to 10000 then log1p,169.32210755348206,0.9272794386173984,0.9439476205685084,0.8997279258957616,0.1041516019757189,0.1041516019757189,0.0161287701492191,0.1104067730354766,0.2304879743798141
0,Matched HVGs plus XGBoost,matched_hvgs,xgboost,368104,93930,159,40,1135,raw counts normalized to 10000 then log1p,30.204296588897705,0.9579301879364572,0.9515809645480676,0.9542110395606485,0.0042167016287239,0.0042007704570858,0.0009830180125653,0.071013105251936,0.1258934449600927
1,scGPT embeddings plus Logistic Regression,scgpt_embeddings,logreg,369759,92275,161,38,1141,raw counts normalized to 10000 then log1p,49.88802123069763,0.9234055897727124,0.920726090490382,0.9106042775110628,0.0205004705149971,0.0205004705149971,0.0037397499863497,0.1183847127347699,0.2173645323181419
1,scGPT embeddings plus Random Forest,scgpt_embeddings,random_forest,369759,92275,161,38,1141,raw counts normalized to 10000 then log1p,106.70914506912231,0.910017149751021,0.90258466540233,0.8911276036071728,0.0721719857023357,0.0721719857023358,0.0113662588429748,0.1575896932478531,0.30128717311093
1,scGPT embeddings plus XGBoost,scgpt_embeddings,xgboost,369759,92275,161,38,1141,raw counts normalized to 10000 then log1p,19.367972135543823,0.929411687028468,0.9203251151449472,0.922414697884773,0.0057801700531778,0.0060023285557092,0.0015527261517313,0.1182916246850773,0.2124519736483224
1,Matched HVGs plus Logistic Regression,matched_hvgs,logreg,369759,92275,161,38,1141,raw counts normalized to 10000 then log1p,290.8059780597687,0.9537416670801916,0.9498564074776484,0.953712623869332,0.0094961639333743,0.0094632658679238,0.0015264388873286,0.0746887842765289,0.1385107322164398
1,Matched HVGs plus Random Forest,matched_hvgs,random_forest,369759,92275,161,38,1141,raw counts normalized to 10000 then log1p,154.38449597358704,0.9200884200839746,0.9411108100785694,0.8919111086536271,0.1088884852136079,0.1088884852136078,0.0169266448053091,0.1156186306010293,0.2409271599682752
1,Matched HVGs plus XGBoost,matched_hvgs,xgboost,369759,92275,161,38,1141,raw counts normalized to 10000 then log1p,31.23366928100586,0.9507243401639148,0.948035762665944,0.9461342838527236,0.0053474482625397,0.0053390937136791,0.0013305005663341,0.0753172887707123,0.1325640456623263
2,scGPT embeddings plus Logistic Regression,scgpt_embeddings,logreg,368718,93316,157,42,1138,raw counts normalized to 10000 then log1p,49.70596027374268,0.9257378012272736,0.9214818466286596,0.909774413678066,0.0225472895254267,0.0225472895254266,0.0038441142834219,0.1177926767689114,0.2168488360689837
2,scGPT embeddings plus Random Forest,scgpt_embeddings,random_forest,368718,93316,157,42,1138,raw counts normalized to 10000 then log1p,126.87523889541626,0.9045893568174028,0.8977024304513695,0.881170002504965,0.0780311519796578,0.0780311519796578,0.0127859431787591,0.1650616479953723,0.3160680912793893
2,scGPT embeddings plus XGBoost,scgpt_embeddings,xgboost,368718,93316,157,42,1138,raw counts normalized to 10000 then log1p,19.101706504821777,0.9295583465119198,0.9205923957306356,0.9208306226490608,0.003200227811869,0.0040209484974768,0.0015049709123016,0.1170764440391475,0.2095815859026092
2,Matched HVGs plus Logistic Regression,matched_hvgs,logreg,368718,93316,157,42,1138,raw counts normalized to 10000 then log1p,284.71428322792053,0.9539926476558608,0.95078014488405,0.9535962196359168,0.0091447524130128,0.00889635985747,0.0015485975504726,0.0737753434612014,0.1368100148451156
2,Matched HVGs plus Random Forest,matched_hvgs,random_forest,368718,93316,157,42,1138,raw counts normalized to 10000 then log1p,156.86488580703735,0.9224700114827517,0.9428393844571136,0.8924715947212507,0.1081698205345524,0.1081698205345525,0.0169190541519987,0.1132999088176976,0.2367033175801061
2,Matched HVGs plus XGBoost,matched_hvgs,xgboost,368718,93316,157,42,1138,raw counts normalized to 10000 then log1p,29.474743604660038,0.9545454538493268,0.9509408890222468,0.9494647392378271,0.0026752610324148,0.0030732100190807,0.0010519011829016,0.0723002503802726,0.1284143424727107
3,scGPT embeddings plus Logistic Regression,scgpt_embeddings,logreg,372019,90015,161,38,1132,raw counts normalized to 10000 then log1p,55.36558818817139,0.9295909472323411,0.926912181303116,0.9144794970631644,0.0219502612580697,0.0219502612580696,0.0037893831177549,0.1099126558789631,0.2029811288105539
3,scGPT embeddings plus Random Forest,scgpt_embeddings,random_forest,372019,90015,161,38,1132,raw counts normalized to 10000 then log1p,133.12251567840576,0.916413142251878,0.9097928123090596,0.8957115822727684,0.0693871575006021,0.0694315945364736,0.0111617892384284,0.1468940758962538,0.28026973291741
3,scGPT embeddings plus XGBoost,scgpt_embeddings,xgboost,372019,90015,161,38,1132,raw counts normalized to 10000 then log1p,19.859079837799072,0.9403435004442176,0.929211798033661,0.933159519672321,0.0037524838498428,0.0034038061631575,0.0012131917442663,0.105818772967614,0.1900469140565114
3,Matched HVGs plus Logistic Regression,matched_hvgs,logreg,372019,90015,161,38,1132,raw counts normalized to 10000 then log1p,306.05908012390137,0.9596368322749274,0.954807532077987,0.9574459174929564,0.0073610462354969,0.0073409779459416,0.0012010962860317,0.0678328045387762,0.1279818987400227
3,Matched HVGs plus Random Forest,matched_hvgs,random_forest,372019,90015,161,38,1132,raw counts normalized to 10000 then log1p,166.80599069595337,0.9244640753472944,0.9464089318446924,0.8960535643862261,0.1047057709749135,0.1047057709749135,0.0163611705318275,0.1066086845517464,0.2247789276958754
3,Matched HVGs plus XGBoost,matched_hvgs,xgboost,372019,90015,161,38,1132,raw counts normalized to 10000 then log1p,31.069825887680054,0.9576030575556048,0.9543964894739766,0.9520417770146706,0.0035875308772477,0.0035753711315916,0.001044253839748,0.0671995891858765,0.119428081088486
4,scGPT embeddings plus Logistic Regression,scgpt_embeddings,logreg,369536,92498,158,41,1134,raw counts normalized to 10000 then log1p,47.02472114562988,0.9305077765746224,0.928182230967156,0.9175008022869924,0.0222249208933366,0.0222206524560864,0.0038126895867414,0.1084762249363638,0.199839397592788
4,scGPT embeddings plus Random Forest,scgpt_embeddings,random_forest,369536,92498,158,41,1134,raw counts normalized to 10000 then log1p,128.22437477111816,0.916156829632089,0.909435879694696,0.8956087966846092,0.0702458970327791,0.0703066551008564,0.0114748343533651,0.1474882440450793,0.2825416800822201
4,scGPT embeddings plus XGBoost,scgpt_embeddings,xgboost,369536,92498,158,41,1134,raw counts normalized to 10000 then log1p,19.05976605415344,0.9366848008390256,0.9282687193236612,0.929862756628302,0.0032699936847107,0.0040839937187379,0.0014569656224854,0.1059827796695688,0.1896288498620146
4,Matched HVGs plus Logistic Regression,matched_hvgs,logreg,369536,92498,158,41,1134,raw counts normalized to 10000 then log1p,319.5628957748413,0.9583956728126316,0.9545179355229302,0.9577143490159882,0.0079785828216264,0.0079785828216264,0.0013715852438438,0.0684227797748631,0.1258952885564025
4,Matched HVGs plus Random Forest,matched_hvgs,random_forest,369536,92498,158,41,1134,raw counts normalized to 10000 then log1p,164.4319326877594,0.9287020858226546,0.9470691258189368,0.9010889687092054,0.1024399443380746,0.1024399443380746,0.0158757361427418,0.1052400234720282,0.2214218636890179
4,Matched HVGs plus XGBoost,matched_hvgs,xgboost,369536,92498,158,41,1134,raw counts normalized to 10000 then log1p,31.176520824432373,0.9544078922108798,0.9531016886851608,0.9494582487764714,0.0051785665676618,0.0046155500614922,0.0011451738320149,0.0681136808208503,0.1199985076600802
