model,bin,lower_edge,upper_edge,n,mean_confidence,accuracy,accuracy_ci_low,accuracy_ci_high
scGPT embeddings plus Logistic Regression,1,0.0,0.1,0,,,,
scGPT embeddings plus Logistic Regression,2,0.1,0.2,0,,,,
scGPT embeddings plus Logistic Regression,3,0.2,0.3,56,0.2703676253025021,0.30357142857142855,0.19298245614035087,0.4153846153846154
scGPT embeddings plus Logistic Regression,4,0.3,0.4,827,0.3676012438038384,0.38694074969770254,0.3575902306568742,0.4169054441260745
scGPT embeddings plus Logistic Regression,5,0.4,0.5,5173,0.46680876947384886,0.4915909530253238,0.47566569901077377,0.5078587564840636
scGPT embeddings plus Logistic Regression,6,0.5,0.6,20014,0.5504665260216305,0.5823423603477565,0.5755800505677626,0.5893450875675419
scGPT embeddings plus Logistic Regression,7,0.6,0.7,22867,0.6519095703484415,0.6844360869375082,0.677397252880937,0.6916837334672757
scGPT embeddings plus Logistic Regression,8,0.7,0.8,30808,0.7534013499910415,0.7983316021812517,0.7914311556103745,0.8051942538386371
scGPT embeddings plus Logistic Regression,9,0.8,0.9,57399,0.8567875269776086,0.8981689576473457,0.8931435044939403,0.9030586849161649
scGPT embeddings plus Logistic Regression,10,0.9,1.0,324890,0.9724343942643356,0.9870725476315061,0.9860369112970534,0.9880798580937811
scGPT embeddings plus Random Forest,1,0.0,0.1,0,,,,
scGPT embeddings plus Random Forest,2,0.1,0.2,2,0.17499999701976776,0.5,0.0,1.0
scGPT embeddings plus Random Forest,3,0.2,0.3,466,0.2701180221057245,0.3798283261802575,0.3349618835632237,0.42317516709970443
scGPT embeddings plus Random Forest,4,0.3,0.4,4467,0.36294716827442963,0.49361987911349897,0.4798750009016417,0.5073552212028802
scGPT embeddings plus Random Forest,5,0.4,0.5,17758,0.4581667433881668,0.5729248789278072,0.564935797116033,0.5806859330015444
scGPT embeddings plus Random Forest,6,0.5,0.6,37323,0.5480916558317991,0.6609865230554886,0.6548272966526306,0.6669927413761205
scGPT embeddings plus Random Forest,7,0.6,0.7,45265,0.6516840841550794,0.7957583121617143,0.7898663234115385,0.8017561119122599
scGPT embeddings plus Random Forest,8,0.7,0.8,52378,0.7522593455023497,0.8899919813662225,0.8852148182211301,0.8945656969822637
scGPT embeddings plus Random Forest,9,0.8,0.9,84713,0.8541696646253412,0.9490160896202472,0.9460636676192254,0.9519931409569912
scGPT embeddings plus Random Forest,10,0.9,1.0,219662,0.9698451749990693,0.9913776620444137,0.9905662784231045,0.9921244690116815
scGPT embeddings plus XGBoost,1,0.0,0.1,0,,,,
scGPT embeddings plus XGBoost,2,0.1,0.2,0,,,,
scGPT embeddings plus XGBoost,3,0.2,0.3,13,0.27258303188360655,0.23076923076923078,0.0,0.4166666666666667
scGPT embeddings plus XGBoost,4,0.3,0.4,385,0.3728007569715574,0.38441558441558443,0.33917947715824215,0.434010152284264
scGPT embeddings plus XGBoost,5,0.4,0.5,2601,0.46587314987494277,0.4682814302191465,0.449315833196621,0.4867453034166696
scGPT embeddings plus XGBoost,6,0.5,0.6,15821,0.5505303021259716,0.5445294229189053,0.5373621766702067,0.552136080871221
scGPT embeddings plus XGBoost,7,0.6,0.7,17669,0.6515288421480109,0.6351802592110476,0.6280552179531859,0.6425061619346014
scGPT embeddings plus XGBoost,8,0.7,0.8,22947,0.7533565439388072,0.7341264653331591,0.7275635514415091,0.7405288878504581
scGPT embeddings plus XGBoost,9,0.8,0.9,40638,0.856469185296942,0.8408386239480289,0.835510656277573,0.8463573247614826
scGPT embeddings plus XGBoost,10,0.9,1.0,361960,0.9805123497193815,0.980506133274395,0.9791652085782288,0.9818038140178761
Matched HVGs plus Logistic Regression,1,0.0,0.1,0,,,,
Matched HVGs plus Logistic Regression,2,0.1,0.2,0,,,,
Matched HVGs plus Logistic Regression,3,0.2,0.3,1,0.2793252766132355,0.0,0.0,0.0
