labels_per_class,representation,classifier,model,macro_f1_mean,macro_f1_fold_sd,ece_mean,ece_fold_sd,brier_mean,brier_fold_sd,nll_mean,nll_fold_sd
10,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.8563840716923142,0.013998064851993088,0.06451464755047014,0.006165893156461491,0.25922388292242793,0.015043750246487823,0.504745383132072,0.027570967804153565
10,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.6432216653125702,0.03156927644042844,0.08862371127603816,0.014104892603283474,0.4606885399886921,0.04227634075600693,1.0314181545970988,0.09098182071849627
10,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.6793171615177623,0.01314126490121333,0.5371191321766395,0.02622648359596739,0.8337924920307994,0.0014213836689036927,2.1030019474234978,0.006609384861088416
10,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.617117745207359,0.03236620006596824,0.07044679474928577,0.011541557417111785,0.48266253710970786,0.036692541018955985,1.1015768387837268,0.0930220968481763
25,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.8933672486558384,0.0020478148334871814,0.014347667805658677,0.0013524603691832551,0.18348651638102784,0.007906541599575196,0.34811199679556043,0.015341883064539347
25,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.7811790410080601,0.010026111155317893,0.03462260179145844,0.008028165717365128,0.26993456261820337,0.010473407388995578,0.5645503937633487,0.020318632405868266
25,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.7383204702728547,0.010696004192188392,0.5324744546290174,0.02055433405713575,0.7255152262765635,0.002380632942952356,1.7057211762734166,0.0068697991909718896
25,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.7287190769288243,0.015029552943954295,0.048437325395119815,0.0034586583791808485,0.34207524131274736,0.012404050054766719,0.7346615729881699,0.025524145670505743
50,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9051507519143696,0.0058283870043667994,0.01599397029509677,0.003272028581297984,0.16017441484974254,0.01028407455708636,0.30394874130620486,0.01869311466689389
50,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8355158280309434,0.007382662282896707,0.02072485191691681,0.0020275790507125087,0.2030663438055762,0.011313292146565072,0.4101039892353201,0.022706821255091155
50,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.7835042083786534,0.007670917210168478,0.4939063069681717,0.00584431688036657,0.6138384731565169,0.0031844505015786876,1.3772608714899046,0.006560280052179771
50,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.7788766949445278,0.011354478875052879,0.054723618311790234,0.003579736363600751,0.28819573831514644,0.008830005497217462,0.5978138632969366,0.021654749200842486
100,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9127103324775717,0.0026977977181331003,0.029287975692321437,0.0013988958411751287,0.14462105819009105,0.004947981771169167,0.28460094561969035,0.010674928050926593
100,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8715271113253305,0.0052887920739978595,0.02043389624336863,0.002828081308759423,0.16009234430246894,0.006929258441507642,0.3171949934970694,0.014186367553978544
100,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8171969258820285,0.010454863505273311,0.4295171710372433,0.007327154265790847,0.49651328758131746,0.005769794910019964,1.0805641056739086,0.012009634564370143
100,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8161215703465642,0.01232855413038647,0.05367019133031674,0.0035835238508766555,0.24529035151114256,0.013522079685091799,0.5017672647569658,0.027580733614610147
250,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.914064912549137,0.0015284744942091122,0.04334318225020946,0.0017234270997617987,0.13962505297253325,0.004330252867002581,0.3051980288176167,0.010380434050586983
250,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.8969371646117722,0.003165039730605888,0.027146495241685886,0.0014687935351167323,0.13551593375572157,0.004881443029943372,0.2656934897645964,0.008695989797449056
250,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.8478083326670369,0.0093994359186056,0.32289770641783855,0.004887103736311564,0.3646074121760289,0.006353942295051795,0.7790908042916204,0.01202461050910087
250,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8506165610298874,0.009792775745965031,0.054586564325768125,0.0030732841244820322,0.21155658929986268,0.009369489446572971,0.4279272052354213,0.021325953143891612
500,Matched HVGs,logreg,Matched HVGs plus Logistic Regression,0.9149888488251614,0.0032031886028708397,0.04973297073133083,0.002406792955106732,0.13684341724325538,0.0058093663929883925,0.32992224897259875,0.015238806256351703
500,Matched HVGs,xgboost,Matched HVGs plus XGBoost,0.9106284589349978,0.0032581278144597006,0.028994743952732556,0.0016449518092939931,0.12104825200878414,0.004612952712013724,0.23733110710428001,0.008923846795752649
500,scGPT embeddings,logreg,scGPT embeddings plus Logistic Regression,0.863175210577667,0.008330966071215962,0.24607780398395915,0.004887132748178375,0.2896611979516811,0.007511913138795319,0.6148407580477586,0.013241070659139164
500,scGPT embeddings,xgboost,scGPT embeddings plus XGBoost,0.8691039621561784,0.007881902722682597,0.052636451148748785,0.003921749631824327,0.18993066228930483,0.009782429083302987,0.38339996427566414,0.02214321193856773
