fold,pipeline,calibrated,temperature,n_classifier_fit_cells,n_calibration_cells,n_classifier_fit_donors,n_calibration_donors,n_test_cells,n_test_donors,macro_f1,accuracy,balanced_accuracy,ece_equal_width_10,ece_adaptive_10,ece_classwise_10,multiclass_brier,negative_log_likelihood
0,scGPT embeddings plus Logistic Regression,False,0.8143026120027713,293886,74218,126,33,93930,40,0.9278714564136412,0.9227190460981582,0.9141193636087624,0.0229865060579937,0.0229729451433304,0.0039009671684047,0.117043076642271,0.2154193119228085
0,scGPT embeddings plus Logistic Regression,True,0.8143026120027713,293886,74218,126,33,93930,40,0.9278714564136412,0.9227190460981582,0.9141193636087624,0.0032432030509544,0.0033818857110647,0.0019005755909712,0.1159301889178888,0.2074063182124249
0,Matched HVGs plus Logistic Regression,False,1.2168324693058503,293886,74218,126,33,93930,40,0.957010466425438,0.9514319173852868,0.9561712647470548,0.0104324198921612,0.0104324198921611,0.0016550338887176,0.0737097729010018,0.1402793318753457
0,Matched HVGs plus Logistic Regression,True,1.2168324693058503,293886,74218,126,33,93930,40,0.957010466425438,0.9514319173852868,0.9561712647470548,0.0008798281706272,0.0019231741525701,0.0012014805437204,0.0732232662822087,0.1358798781000001
1,scGPT embeddings plus Logistic Regression,False,0.8111675329648512,295700,74059,129,32,92275,38,0.9207081829653858,0.9188079111351936,0.9064624938254684,0.0219268415637905,0.0219225370206529,0.0038863429004391,0.1217284894851833,0.223861773889555
1,scGPT embeddings plus Logistic Regression,True,0.8111675329648512,295700,74059,129,32,92275,38,0.9207081829653858,0.9188079111351936,0.9064624938254684,0.0045394540748798,0.0041827027984093,0.001892067231468,0.1207350191758845,0.2163701653424477
1,Matched HVGs plus Logistic Regression,False,1.2271421950157235,295700,74059,129,32,92275,38,0.9528797250880277,0.948751015984828,0.9532208559468096,0.0112726682142753,0.0112555995094576,0.0017687471547796,0.0764041094669477,0.1446738665191239
1,Matched HVGs plus Logistic Regression,True,1.2271421950157235,295700,74059,129,32,92275,38,0.9528797250880277,0.948751015984828,0.9532208559468096,0.002179702058061,0.0028471905065981,0.0015533719183897,0.0758028557110085,0.140321408490315
2,scGPT embeddings plus Logistic Regression,False,0.787504190882537,294275,74443,125,32,93316,42,0.9230325303615796,0.9198636889708088,0.9050775191136804,0.025639768417836,0.0256177662954047,0.0043484757405876,0.1202320125614096,0.2222011367547377
2,scGPT embeddings plus Logistic Regression,True,0.787504190882537,294275,74443,125,32,93316,42,0.9230325303615796,0.9198636889708088,0.9050775191136804,0.0040903661989839,0.0039232855466239,0.0018958012034118,0.1187834235374526,0.2128266583927266
2,Matched HVGs plus Logistic Regression,False,1.2544144171165152,294275,74443,125,32,93316,42,0.9523861313497212,0.9497406661237088,0.9529752056575664,0.0104901117458625,0.0104753619252121,0.0016872890108392,0.0751852588453197,0.1404585287065611
2,Matched HVGs plus Logistic Regression,True,1.2544144171165152,294275,74443,125,32,93316,42,0.9523861313497212,0.9497406661237088,0.9529752056575664,0.0030779377683939,0.0037236665516318,0.0017057904222821,0.074732419843558,0.136822789834296
3,scGPT embeddings plus Logistic Regression,False,0.8174987691737405,298728,73291,130,31,90015,38,0.9277332310551126,0.9256012886741098,0.9112851989901742,0.0245869303741187,0.0245617667280376,0.004226197286271,0.112379761112549,0.208432376879169
3,scGPT embeddings plus Logistic Regression,True,0.8174987691737405,298728,73291,130,31,90015,38,0.9277332310551126,0.9256012886741098,0.9112851989901742,0.0015672243283044,0.0012480414650644,0.0014272994902868,0.1109464063719446,0.1996777230533555
3,Matched HVGs plus Logistic Regression,False,1.2436010281134364,298728,73291,130,31,90015,38,0.9586863926112495,0.9540632116869412,0.9573768687557958,0.0090974188178596,0.0090974188178595,0.0014785689384249,0.0696058708255943,0.1335399960472452
3,Matched HVGs plus Logistic Regression,True,1.2436010281134364,298728,73291,130,31,90015,38,0.9586863926112495,0.9540632116869412,0.9573768687557958,0.002786733137777,0.0039739332910874,0.0014363381702975,0.0692758060604097,0.1296583243412028
4,scGPT embeddings plus Logistic Regression,False,0.8005184226453713,295376,74160,127,31,92498,41,0.9278047350211912,0.9264740859261822,0.9128800582720296,0.0250631128249239,0.0250378140966232,0.0043052491397942,0.1112197795882851,0.2056776791664034
4,scGPT embeddings plus Logistic Regression,True,0.8005184226453713,295376,74160,127,31,92498,41,0.9278047350211912,0.9264740859261822,0.9128800582720296,0.0017467046821858,0.0020899260115684,0.0018120516683024,0.1098031932738043,0.1963704223906563
4,Matched HVGs plus Logistic Regression,False,1.2210703080387066,295376,74160,127,31,92498,41,0.9566631550032164,0.9534908862894332,0.9557759398820384,0.0096265137551897,0.0096161013230804,0.0015491027320569,0.0699355640063239,0.1307773787464944
4,Matched HVGs plus Logistic Regression,True,1.2210703080387066,295376,74160,127,31,92498,41,0.9566631550032164,0.9534908862894332,0.9557759398820384,0.0020689206882049,0.0030117752815577,0.0012750578205192,0.0694348614553578,0.1274125862423447
